Aaliyah	Arabic, Hebrew	high exalted, to ascend
Aileen	Scottish	The light of the sun. The Irish form of Helen.
Ailis	Irish Gaelic	The light of the sun. Form of Alice.
Ailish	 	A form of Elizabeth, meaning consecrated to God.
Ailsa	Scottish	After a rocky inlet known as Ailsa Craig.
Aimee	French	Beloved. A form of Amy.
Ain	Arabic	precious, eye
Aina	Yoruban	complicated delivery
Aine	Irish Gaelic	Brightness, radiance. Traditional name of the queen of the fairies in Celtic mythology.
Aingeal	Irish Gaelic	A heavenly messenger, an angel. Form of Angela.
Ainhoa	Basque	reference to virgin mary
Ainsley	Old English/Scottish	A meadow or clearing. Also a unisex name.
Aintzane	Basque	glorious
Airlia	Greek	Ethereal.
Aisha	Arabic	Life. The name of Mohamed?s third and favourite wife.
Aisling	 	A vision or dream.
Aislinn	 	A vision or dream.
Aissa	African	grateful
Aithne	Celtic	little fire
Aiyana	Native American	eternal bllom
Aja	 	 
Ajay	Hindu	unconquerable, god
Akaisha	Irish	the akaisha flower
Akako	Japanese	Red.
Akala	Aboriginal	A parrot.
Akana	 	A mountain in Papua New Guinea.
Akanke	Nigerian	to know her is to love her
Akanksha	Hindu	 
Akasma	Turkish	white climbing-rose
Akela	Hawaiian	noble
Akila	Arabic	Wise.
Akilah	Arabic	intelligent, logical
Akili	Tanzanian	wisdom
Akilina	Latin	eagle
Akina	Japanese	A spring flower.
Akriti	Hindu	 
Aksana	Russian	Axana
Akshita	Hindu	 
Akuti	Hindu	princess
Alaine	 	The bright fair one, the beautiful child. Derived from a word that is used as a term of endearment by the Irish. The feminine form of Alan.
Alake	Yoruban	one petted
Alala	Greek	war goddess
Alameda	Spanish	A Poplar tree.
Alana	Irish Gaelic	The bright fair one, the beautiful child. Derived from a word that is used as a term of endearment by the Irish. The feminine form of Alan.
Alani	Hawaiian	An Orange tree.
Alankrita	Hindu	 
Alanna	 	The bright fair one, the beautiful child. Form of Alana.
Alaqua	Native American	A sweet Gum tree.
Alarice	Teutonic	The ruler of all. The feminine form of Alaric.
Alastrina	Greek	The protector of mankind. The feminine form of Alastair.
Alatea	Spanish from Greek	Truth.
Alavda	French	lark
Alazne	Basque	miracle
Alba	Aboriginal	A sand hill. Also see Albina.
Alberta	Teutonic	Noble and illustrious. The feminine form of Albert, and also the name of a Canadian province.
Albina	Latin	A white lady, someone of very fair hair and colouring.
Albinka	Latin	blond
Alcina	Greek	Strong-minded. A sorceress in Greek mythology.
Alda	Teutonic	Wise and rich.
Aldabella	Italian	Beautiful. From Leda and Bell.
Aldara	Greek	A winged gift.
Aldea	Teutonic	rich
Aldercy	Old English	a chief
Aldonza	Spanish	Sweet.
Aldora	Old English	Of noble rank.
Alejandra	Spanish	The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Aleka	Greek	The defender, or helper of mankind. Form of Alexandra.
Aleksandra	 	The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Aleksia	Danish/Norwegian	The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Alena	 	A woman from the village of Magdala. From the name Magdalene. Also see Marlene.
Aleshanee	Native American	She plays all the time
Alessa	 	Protector of mankind.
Alessandra	Italian	The defender, or helper of mankind. Form of Alexandra.
Alesti	Les	 
Aleta	 	The little winged one.
Alethea	Greek	Truthful.
Alex	 	The defender, or helper of mankind. A form of Alexander, but also used as an independent name.
Alexa	 	Protector of mankind.
Alexandra	Greek	The defender, or helper of mankind. Feminine form of Alexander. Also see Alexis.
Alexandria	 	Defender of mankind.
Alexavia	alex, xavia, lexa	 
Alexia	 	The defender, or helper of mankind. Feminine forms of Alexis. Also see Alexandra.
Alexina	 	The defender, or helper of mankind. Feminine forms of Alexis. Also see Alexandra.
Alexis	Greek	The protector and helper of mankind. A boy or girl's name.
Alfonsa	Teutonic	Noble and ready. Feminine form of Alphonse.
Alfreda	Teutonic	A wise counsellor. Feminine form of Alfred.
Algerine	 	Woman from Algeria.
Ali	Arabic	Exalted, or noble. A boy or girl's name.
Alia	 	Noble, descender.
Alice	Greek/Teutonic	Greek: The wise counsellor, or the truthful one. Teutonic: Noble. The name became popular after the publication of Lewis Carroll's Alice in Wonderland books. Also see Alicia and Alison.
Alicia	Greek/Teutonic	Greek: The wise counsellor, or the truthful one. Teutonic: Noble. A form of Alice, but often used as an independent name.
Alida	Latin	The little winged one.
Alike	Nigerian	girl who drives out beautiful women
Alima	Arabic	Skilled in dancing and music.
Alina	 	Noble and kind. Also see Adele.
Aline	 	Noble and kind. Also see Adele.
Alinga	Aboriginal	The sun.
Alisa	Italian	The wise counsellor, or the truthful one. Also see Alicia and Alison.
Alisha	Greek/Teutonic	Greek The wise counsellor, or the truthful one. Teutonic Noble. Also see Alicia and Alison.
Alison	Old English	The light of the sun. A boy or girl's name.
Alissa	 	Truth, noble.
Alita	Spanish	noble
Alithia	Greek/Teutonic	Greek The wise counsellor, or the truthful one. Teutonic Noble. Also see Alicia and Alison.
Aliya	Arabic/Hebrew	Arabic: Sublime, exalted. Hebrew: To ascend.
Aliz	Hungarian	kind
Aliza	Modern Jewish	Joy.
Alize	 	One who charms.
Alka	Polish	Noble, brilliant.
Alkina	Aboriginal	The moon.
Alkira	Aboriginal	The sky.
Allayna	Llaynie, Allie	 
Allegra	Italian/Spanish	Cheerful, joyous.
Allene	 	Attractive, peaceful.
Allie	 	The defender, or helper of mankind. From the name Alexandra, Alice or Alison.
Allirea	Aboriginal	Quartz.
Allison	 	Of noble birth.
Allora	Aboriginal	The place of the swamp. The name of a town in Queensland.
Allunga	Aboriginal	The sun.
Allyson	 	Of noble birth.
Alma	Latin/Celtic	Latin: Of the soul. Celtic: Good.
Almeda	 	Ambitious.
Almedha	Welsh	Shapely.
Almira	Arabic	Truth without question.
Alodia	 	The light of the sun. Form of Alice.
Alodie	Old English	Wealthy, prosperous.
Aloha	Hawaiian	Greetings.
Alohi	Hawaiian	Brilliant.
Alona	Hebrew	From the Oak tree.
Alonsa	 	Noble and ready. Feminine form of Alphonse.
Alonza	 	Noble and ready. Feminine form of Alphonse.
Alouetta	 	The little winged one.
Aloysia	 	A famous warrior maiden. The feminine form of Louis.
Alpa	Hindu	 
Alpha	Greek	The first one. First letter of the Greek alphabet.
Alta	Latin	Tall.
Altair	Arabic, Greek	bird, star
Althea	Greek	The healer, or wholesome.
Altheda	Greek	Flower-like.
Alula	Latin	A star in Ursa Major.
Aluma	Hebrew	A girl.
Alumit	Hebrew	secret
Alva	Latin	The white or blonde one. Also a nickname from Alvina.
Alvina	Teutonic	A beloved and noble friend. The feminine form of Alvin. Also see Elvina.
Alvira	Latin/Teutonic	Latin: The fair one. Teutonic: A true stranger.
Alvita	Latin	Vivacious, full of life.
Alyna	 	Noble and kind. Also see Adele.
Alysa	Greek	princess
Alysia	Greek	Possessive. Also see Alicia.
Alyson	 	Of noble birth.
Alyssa	Greek	The sane one. Also a form of Alicia.
Alzena	Arabic	A woman.
Ama	Ghanian	Born on Saturday.
Amabel	Latin	Lovable, the sweet one. Also see Mabel.
Amadea	Latin	Beloved of God.
Amadi	Nigerian	general rejoicing, seemed destined to die at
Amadika	Zimbabwean	The beloved one.
Amadis	Latin	love of god
Amadora	Italian	The gift of love.
Amaia	Basque	end
Amala	Arabic	Hope. Also see Amelia.
Amalie	Teutonic	Industrious, striving. Also see Emily.
Amana	Hebrew	Faithful or loyal.
Amanda	Latin	Worthy of being loved.
Amandeep	Hindu	light of peace
Amandine	Latin	beloved
Amandla	African	Power.
Amani	Arabic	An aspiration, a desire.
Amara	Greek	Unfading or eternal beauty.
Amarante	French	flower name
Amaranth	Greek	An unfading flower.
Amarina	Aboriginal	Rain.
Amaris	Hebrew	God has promised.
Amaryllis	Greek	A shepherdess. Also a flower name.
Amata	Italian/Spanish	Beloved. Form of Amy.
Amaya	 	 
Amazonia	Greek	Warlike. Also after the Amazon River.
Ambar	Sanskrit	Of the sky. A boy or girl's name.
Amber	Arabic	After the gemstone
Amberjill	Old English	 
Amberley	Hindu	the sky
Ambika	Hindi	A mother.
Ambra	Arabic	After the gemstone
Ambria	Bria, Amber, Ria	 
Ambrosine	Greek	The divine immortal one. The feminine form of Ambrose.
Amdis	Latin	immortal
Ameerah	Arabic	princess
Amelia	Teutonic	Industrious, striving. Also see Emily.
Amelinda	 	Industrious, striving. Formed from Amelia and Linda.
Amena	unknown	honest woman
Ames	Latin	loves
Amethyst	Greek	The name of a semi-precious stone.
Ami	Japanese	friend
Amice	Latin	Friendship. Also see Amity.
Amina	Arabic	Honest, faithful.
Aminta	Greek	The protector.
Amira	Arabic/Hebrew	Arabic: A princess. Hebrew: Speech.
Amisha	Hindu	 
Amissa	Hebrew	friend
Amita	Hindu	without limits
Amitola	Native American	rainbow
Amity	Latin	Friendship. Also see Amice.
Amoke	Yoruban	to pet her
Amorina	 	Love.
Amorita	Latin	The little beloved one.
Amrita	Sanskrit	Immortal.
Amy	Old French	Beloved. Also a nickname from Amelia.
An	Chinese/Vietnamese	Chinese: Peace. Vietnamese: Safety.
Ana	Russian from Greek	She who will rise again.
Anabelle	Latin	Lovable
Anahid	Armenian	Goddess of the Moon
Anais	 	Pure, chaste.
Anamika	Hindu	 
Anan	Arabic	Of the, clouds.
Anana	African	Soft, gentle.
Ananda	Sanskrit	Joyful.
Anani	Hawaiian	orange tree
Anar	Hindu	Anaar
Anastasia	Russian from Greek	She who will rise again. The name of a 4th-century saint.
Anata	Babylonian	The goddess of the earth.
Anatola	Greek	From the east. The feminine form of Anatole, Anatholia, Anatolia.
Anaya	Latin	Anaia
Anca	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Ancelin	Old French	A spear attendant. The feminine form of Lancelot.
Anchoret	 	Free from shame, or much loved.
Ancika	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Ancilla	Latin	A handmaiden.
Andea	 	A woman of the Andes.
Andie	 	Strong. The feminine form of Andrew or Andreas.
Andras	Norwegian	Breath.
Andraya	trusted by God, royalty	Ray, Rai, Raya
Andrea	Greek	Strong. The feminine form of Andrew or Andreas.
Andreana	Latin	womanly
Andria	Italian	love, joy
Andromache	Greek/Teutonic	From Shakespeare's play Troilus &amp; Cressida
Andromeda	Greek	A ruler of men. A heroine of Greek legend, who was rescued from a sea monster by Perseus.
Andy	 	Strong. The feminine form of Andrew or Andreas.
Aneira	Welsh	Truly golden. The feminine form of Aneurin.
Anemone	Greek	A wind flower. A mythological nymph who turned into a flower.
Aneya	Neya	 
Anezka	Czech	Pure, chaste. Form of Agnes.
Angela	Greek	A heavenly messenger, an angel. Also see Angelica.
Angelica	Latin	The angelic one. Also a form of Angela and a plant name.
Angeni	Native American	spirit angel
Angevin	French	angel of wine
Angharad	Welsh	Free from shame, or much loved.
Angwen	Welsh	Very handsome.
Aniela	Italian/Polish	A heavenly messenger, an angel. Form of Angela.
Anika	 	Very beautiful.
Anila	Sanskrit	Of the wind.
Anisa	Arabic	friendly
Anita	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Anitra	 	A name created by Norwegian playwright Henrik Ibsen for his play Peer Gynt.
Anja	 	 
Anjali	Hindu	 
Anjana	Hindu	 
Anka	Aboriginal	A barramundi. Also see Anne.
Ankareeda	night star, graceful, shining	Anka, Anki, Ank, Raida
Anke	Hebrew	grace
Ankita	Hindu	 
Ann	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Ann-Margret	 	From Anne and Margaret. Anne - Grace, or favoured by God. Margaret - A pearl.
Anna	 	Grace, or favoured by God. From the Hebrew name Hannah. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Annabel	 	Combination of Anna (grace) and Belle (beautiful).
Annabeth	unknown	Anabeth
Annalise	 	Gracious and consecrated to God.
Annalynn	Annalynne, Analyn, Analynne, Annalisa	 
Annamaria	 	Grace, or favoured by God. From Anna and Maria.
Annapurna	Hindu	one of the Hindu Goddesses
Annata	Italian	Grace, or favoured by God. Form of Anne.
Anne	 	Grace, or favoured by God. From the Hebrew name Hannah. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Anneliese	German/Scandinavian	From Anne and Liese. Anne - Grace, or favoured by God. Liese - Consecrated to God.
Annette	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Annice	Old English	Pure, chaste. Form of Agnes.
Annika	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Anninka	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Annissa	Arabic	Charming, gracious.
Annora	Latin	honor
Annunziata	Italian	The bearer of news.
Anona	Latin	Of the harvest.
Anoush	Armenian	Sweet.
Anselma	Teutonic	A divine helmet. The feminine form of Anselm.
Anshu	Hindu	 
Anstice	Russian from Greek	The resurrected one. A boy or girl's name.
Anteia	Greek	A mythological figure.
Anthea	Greek	Flower-like.
Antigone	Greek	A name featured in mythology and implying strength of character.
Antionette	Latin	Flourishing, praiseworthy. From the name Antonia.
Antje	German	grace
Antoinette	 	Beyond price, praiseworthy. The feminine form of Antony.
Antonia	Latin	Beyond price, praiseworthy. The feminine form of Antony.
Antonie	 	Worthy of praise. Feminine form of Anthony.
Anupama	Hindu	 
Anuradha	Hindu	a bright star
Anusia	Greek/Polish	Grace, or favoured by God. Forms of Anne.
Anusree	Hindu	pretty
Anvita	Hindu	 
Anya	 	Grace, or favoured by God. From the Hebrew name Hannah, meaning. Also see Annabel, Annamaria, Anneliese, Hannah, Nancy.
Anzu	Japanese	An apricot.
Aolani	Hawaiian	A heavenly cloud.
Apanie	Aboriginal	Water.
Apara	Nigerian	One who comes and goes.
Aparajita	Hindu	 
Aparna	Hindu	same as Parvati
Aphra	Hebrew	Dust.
Aphrodite	Greek	The mythological goddess of beauty, love and fertility.
Apirka	Gaelic	pleasant
Apolline	Greek	The sun, sunlight.
Apollonia	Greek	Belonging to Apollo.
Aponi	Native American	butterfly
April	Latin	From April, the first month in the Roman calendar, and the beginning of spring.
Aqua	Latin	A gemstone and colour name. From the name Aquamarine.
Aquamarine	Latin	A colour name.
Aquaria	Latin	After the zodiac sign and constellation of Aquarius.
Aquene	Native American	peace
Arabella	Latin	A beautiful altar.
Arabelle	German	beautiful eagle
Araceli	Latin	alter of heaven
Arachne	Greek	A mythological maiden who was turned into a spider.
Araluen	Aboriginal	The place of waterlilies. A boy or girl's name.
Araminta	Greek	A beautiful, fragrant flower.
Arashel	Hebrew	strong and protected hill
Araxie	Armenian	river said to inspire poetic expression
Arcadia	Greek	After Arcady, a mountainous region of Greece.
Arda	Armenian	 
Ardath	Hebrew	A field of flowers.
Ardelia	Latin	zealous
Ardelle	Latin	Warm and enthusiastic.
Arden	Old English/Latin	Old English: A dwelling place. Latin: Ardent and sincere. A boy or girl's name.
Ardere	Latin	fire
Ardine	 	Warm and enthusiastic.
Ardis	 	Warm and enthusiastic.
Arella	Hebrew	angel messenger
Areta	Greek	Virtuous, one of untarnished reputation.
Aretha	Greek	the best, nymph
Aretina	Greek	virtous
Arezou	Persian	Wishful.
Argenta	Latin	The silvery one.
Aria	Latin	A beautiful melody.
Ariadne	Greek	The holy one.
Ariana	 	Like a beautiful melody.
Ariane	 	The holy one.
Aricia	Greek	princess of the royal blood of Athens
Ariella	Hebrew	God's lioness.
Arielle	 	Ethereal.
Ariene	Welsh	silvery
Arika	Aboriginal	A waterlily.
Arilda	German	A hearth maiden.
Arinya	Aboriginal	A kangaroo.
Arista	Greek	The best.
Ariza	Hebrew	A Cedar tree.
Arlene	 	A modern name of uncertain origin.
Arlette	Teutonic	An eagle.
Arlynda	 	Pledge.
Armada	Spanish	The armed one.
Armelle	French/Celtic	A princess.
Armilla	Latin	A bracelet.
Armina	Teutonic	A warrior maid. The feminine form of Herman. Also See Erma.
Armorel	 	Gaelic the one who lives by the sea.
Armynel	French	A woman of the army. The feminine form of Armand.
Arnalda	Teutonic	Strong as an eagle. Feminine form of Arnold.
Arnisha	 	 
Arnurna	Aboriginal	A blue waterlily.
Aroha	Maori	love
Arora	Aboriginal	A cockatoo.
Arran	 	The name of a Scottish island. A boy or girl's name.
Artemis	Greek	Perfect. The name of the Greek goddess of the moon and hunting.
Artemisia	Greek	belonging to artemis
Arti	Indonesian	A popular girl's name.
Aruna	Sanskrit	The dawn.
Arushi	Hindu	 
Arva	Greek	An eagle.
Arziki	African Hausa	prosperity
Asa	Hebrew/Japansese	Hebrew: The healer, a physician. A biblical name. Japanese: The morning. A boy or girl's name.
Asella	 	After St Asella, who was described as `a flower of the Lord'.
Asenette	Hebrew	 
Asenka	Hebrew	graceful
Asha	Sanskrit	Hope.
Ashamed	Hebrew	Ashes
Ashima	Hindu	 
Ashira	Hebrew	Wealthy.
Ashleigh	Old English	An Ash tree meadow or wood.
Ashley	Old English	From the Ash tree.
Ashling	Irish Gaelic	A vision or dream.
Ashrita	Hindu	 
Asia	Greek	East
Asisa	Hebrew	Ripe.
Askini	Hindu	daughter of Prajapati Virat
Asmara	 	An Ethiopian city.
Asmita	Hindu	pride
Aspasia	Greek	Welcome.
Aspen	 	 
Assunta	Italian	From the Assumption of the Virgin Mary.
Asta	Greek/Old Norse	A star. Also a short form of Astrid.
Aster	Greek	After the flower.
Astera	Hebrew	flower name
Astra	Greek	like a star
Astrea	Greek	Innocence. The Greek goddess of justice, who left earth and became a constellation.
Astrid	Old Norse	Divine strength.
Atalanta	Greek	The name of a swift runner in classical mythology.
Atara	Hebrew	a crown
Atarah	Hebrew	A crown. A boy or girl's name.
Athalia	Hebrew	God is exalted.
Athanasia	Greek	Immortal.
Athela	Old English	Noble.
Athena	Greek	A wise woman. After Athene, the Greek goddess of wisdom.
Atifa	Arabic	affection
Atin	Indonesian	A common girl's name.
Atiya	Arabic	A gift.
Atlanta	Greek	The name of a swift runner in classical mythology.
Atmaja	Hindu	daughter
Aubina	 	A white lady, someone of very fair hair and colouring.
Aubine	 	A white lady, someone of very fair hair and colouring.
Audlin	pale, pallid	 
Audora	 	 
Audrey	Old English	Strong and noble, regal. A Shakespearian character in As You Like It.
Audun	Norwegian	deserted
Augusta	Latin	Majestic, or revered. The feminine form of Augustus.
Aundy	Norwegian	new prosperity
Aura	Latin/Greek	Latin A gentle breeze. Greek of the air.
Aure	Greek	breeze, soft-air
Aurelia	Latin	Golden.
Aurkene	Basque	presentation
Aurora	Latin	Daybreak. The goddess of the dawn.
Ausiana	Aussi, Anna, Aussie	 
Autumn	Latin	autumn
Ava	Greek	An eagle.
Avalon	 	The legendary island where King Arthur is supposedly buried. Also a Sydney placename.
Avani	Hindu	 
Avanti	Hindu	ancient Malwa
Avantika	Hindu	 
Avara	Sanskrit	The youngest.
Avasa	Hindu	independent
Avel	Greek/Hebrew/Russian	Breath. A boy or girl's name.
Aveline	Old French	From a placename. Also see Evelyn.
Avena	Latin	From the Oat field.
Aveolela	Samoan	rays of the sun
Avera	Hebrew	A transgressor.
Averah	 	A transgressor.
Averil	Old English	The slayer of the boar.
Avery	Old English	The ruler of the elves. A boy or girl's name.
Avice	French	Warlike.
Avis	Latin	A bird. Also a variation of Avice.
Aviva	Modern Jewish	Of the springtime.
Avoca	Irish	A sweet valley.
Avril	French	From April, the first month in the Roman calendar, and the beginning of spring. French form of April.
Awsta	Welsh	Majestic, or revered. The Welsh form of Augusta.
Awusi	Ghanian	Born on a Sunday.
Axelia	Greek	protector of mankind
Axelle	Teutonic	The father of peace. The feminine form of Axel.
Ayala	Modern Hebrew	A deer.
Ayame	Japanese	Iris
Ayasha	Muslim	muhammads wife
Ayelin	Ayla, Linn	 
Ayesha	 	Life. The name of Mohamed?s third and favourite wife.
Ayiana	American Indian	eternal bllom
Ayita	Native American	worker
Ayla	Hebrew	oak tree
Aylwen	Welsh	A fair brow.
Ayme	 	 
Ayse	Turkish	 
Ayseg?l	Turkish	 
Ayushi	Hindu	 
Ayushmati	Hindu	person who has a long life
Azadeh	Latin, Persian	dry earth; detached, free of material things
Azalea	Latin/Teutonic	Latin Dry: Earth. Teutonic Noble: Cheer. Also a flower name.
Azalia	Hebrew	spared by jehovah
Azaria	Hebrew	Helped by God. A boy or girl's name.
Azarni	Japanese	A thistle flower.
Aziza	Arabic	The cherished one.
Azland	Aza, Azalyn	 
Azra	Arabic	Virginal.
Azrael	Az	 
Azura	Old French	From the Persian for blue sky.
Baako	African	first born
Babette		The foreigner or stranger.
Bacia	Ugandan	family deaths ruined the home
Bageshwari	Hindu	
Baji	joyful	Jiji
Baka	Hindu	crane
Bakana	Aboriginal	A lookout.
Bakarne	Basque	solitude
Bala	Sanskrit	A young girl.
Balbina	Latin	strong, stammers
Bambalina	Italian	Little girl.
Bambi		Child.
Banan	Arabic	fingertips
Bansari	Hindu	Bansuri
Bara	Hebrew	to choose
Barakah	Arabic	white one
Barb	Latin	The foreigner or stranger. From the name Barbara.
Barbara	Latin	The foreigner or stranger.
Barbie	Latin	The foreigner or stranger. From the name Barbara.
Bari	French, Celtic, Welsh	spear thrower, son of Harry, marksman
Barika	Swahili	Successful.
Barina	Aboriginal	The summit.
Barnadine		Bold as a bear. From the name Bernard.
Barretta	unknown	a cap
Basha	Hebrew, Greek, Polish	daughter of God, stranger
Basia	Polish	The foreigner or stranger. From the name Barbara.
Basilia	Greek	Queenly, regal. The feminine form of Basil.
Basimah	Arabic	The smiling one.
Bates	unknown	
Bathilde	Teutonic	The commanding maiden of war.
Bathsheba	Hebrew	The daughter of the oath, or the seventh daughter. The wife of King David in the Bible.
Batyah	Modern Hebrew	The daughter of God.
Bayo	Nigerian	to find joy
Beata	Latin	Blessed.
Beatrice	Latin	The blessed one. She who brings joy. Beatrix was the name of a 4th-century saint.
Beatriz		Blessed.
Beau	French	Handsome or beautiful. A boy or girl's name.
Bebe	French	baby
Beccalynn	English	Becca, Lyn, Becky
Beckie		A heifer or a knotted cord.
Becky		A heifer or a knotted cord.
Beda	Old English	A warrior maiden.
Bedelia	Old English	Strength.
Bega	Aboriginal	Beautiful. A town in New South Wales.
Begonia		A flower name.
Behira	Hebrew	The brilliant one.
Bel	Hindu	sacred wood apple tree
Bela	Hungarian	The white one. A boy or girl's name.
Belda	French	A beautiful lady.
Belicia	Spanish	dedicated to god
Belina	French	A goddess.
Belinda	Italian	Beautiful.
Belita	Spanish	The beautiful one.
Belladonna	Italian	beautiful woman
Bellanca	Greek	stronghold
Belle	French	Beautiful. Also a nickname from Annabel, Arabella, Belinda, Isabel and Isabella.
Bellona	Latin	After the Roman goddess of war.
Belva		Beautiful. Also a nickname from Annabel, Arabella, Belinda, Isabel and Isabella.
Belvia		Beautiful. Also a nickname from Annabel, Arabella, Belinda, Isabel and Isabella.
Benedicta	Latin	Blessed. The feminine form of Benedict.
Benilda	Latin	Benign - of good intentions.
Benita		Daughter of my right hand. Feminine form of Benedict.
Benquasha	Native American	daughter of Ben
Benta	Hebrew	The wise one.
Beranger	French	courage of a bear
Berdine	Teutonic	A glorious maiden.
